sample	tcell_fraction_float
NWD605440	0.137461511
NWD709431	0.134335038
NWD769835	0.158921822
NWD685570	0.050057759
NWD443391	0.178197513
NWD821964	0.181099619
NWD232718	0.150577064
NWD832330	0
NWD866388	0.124042228
NWD693046	0.149017572
NWD355574	0.154220505
NWD715174	0.154430622
NWD352040	0.125296766
NWD429955	0.222107423
NWD374010	0.12636052
NWD329327	0.172082217
NWD634266	0
NWD986338	0.168000321
NWD375506	0.003766613
NWD108921	0.14244617
NWD904605	0.052037541
NWD794539	0.193918244
NWD461253	0.169010674
NWD648229	0.059171776
NWD944543	0.252637784
NWD152233	0.161255471
NWD577252	0.140967288
NWD136156	0.12502772
NWD152499	0.170080715
NWD303830	0.05206242
NWD423493	0.242164357
NWD840301	0.055078594
NWD839548	0.20382119
NWD865204	0
NWD396205	0.099878958
NWD392306	0.23906791
NWD624172	0.16116229
NWD646333	0.009731348
